raceId,year,round,circuitId,date,race_time,circuit_name,location,country,driverId,surname,nationality,constructorId,constructor_name,grid,positionOrder,points,laps,milliseconds,fastestLap,rank,fastestLapTime,points_driver_standings,position_driver_standings,points_constructor_standings,position_constructor_standings,position_qualifying,positionOrder_sprint,points_sprint,status
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,1,Hamilton,British,131,Mercedes,2,1,25.0,52,7103284.0,45.0,2,129.699,177.0,2,285.0,2,1,2,2,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,844,Leclerc,Monegasque,6,Ferrari,4,2,18.0,52,7107155.0,45.0,5,130.569,80.0,6,148.0,4,4,4,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,822,Bottas,Finnish,131,Mercedes,3,3,15.0,52,7114409.0,45.0,4,130.524,108.0,4,285.0,2,3,3,1,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,846,Norris,British,1,McLaren,5,4,12.0,52,7131857.0,44.0,9,131.42,113.0,3,163.0,3,6,5,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,817,Ricciardo,Australian,1,McLaren,6,5,10.0,52,7145908.0,51.0,8,131.284,50.0,8,163.0,3,7,6,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,832,Sainz,Spanish,6,Ferrari,10,6,8.0,52,7146738.0,51.0,7,131.223,68.0,7,148.0,4,9,11,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,4,Alonso,Spanish,214,Alpine F1 Team,7,7,6.0,52,7175377.0,48.0,10,131.698,26.0,11,40.0,7,11,7,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,840,Stroll,Canadian,117,Aston Martin,14,8,4.0,52,7177573.0,48.0,12,131.992,18.0,12,48.0,6,15,14,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,839,Ocon,French,214,Alpine F1 Team,9,9,2.0,52,7179446.0,48.0,14,132.21,14.0,13,40.0,7,13,10,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,852,Tsunoda,Japanese,213,AlphaTauri,16,10,1.0,52,7185349.0,51.0,6,130.826,10.0,14,49.0,5,16,16,0,Finished
1061,2021,10,9,1626566400,50400,Silverstone Circuit,Silverstone,UK,842,Gasly,French,213,AlphaTauri,11,11,0.0,52,7188611.0,52.0,3,130.266,39.0,9,49.0,5,12,12,0,Finished
